date,logged_calories,logged_carbs_g,logged_fat_g,logged_protein_g,logged_fibre_g,logged_sugar_g,goal_calories,goal_carbs_g,goal_fat_g,goal_protein_g,foods_logged,food_detail
2026-04-14,3513,485,130.5,141.4,56.7,242.8,4190,419,140,314,31,"BREAKFAST:Poached Egg(74kcal) | BREAKFAST:Avocados(160kcal) | BREAKFAST:Toasted White Bread(64kcal) | BREAKFAST:Rocket(2kcal) | SNACKS:Weet-Bix(105kcal) | SNACKS:Fitmilk Low Fat(43kcal) | SNACKS:Flat White(58kcal) | SNACKS:Bananas(105kcal) | LUNCH:Chicken Drumstick Meat (Stewed, Cooked)(78kcal) | LUNCH:Broccoli(34kcal)"
2026-04-15,1725,179.1,54.9,139,22.6,56.2,4333,434,145,325,13,SNACKS:Bananas(105kcal) | SNACKS:Fitmilk Low Fat(43kcal) | SNACKS:Weet-Bix(105kcal) | BREAKFAST:Bananas(105kcal) | BREAKFAST:Milk(122kcal) | BREAKFAST:Whey Protein(375kcal) | SNACKS:Egg(74kcal) | SNACKS:Lettuce Salad with Assorted Vegetables(11kcal) | SNACKS:Avocados(160kcal) | SNACKS:Toasted Sour Dough Bread(69kcal)
2026-04-16,154,17.2,3.8,12.9,,17.2,2962,296,99,222,1,DINNER:Plain Yoghurt(154kcal)
2026-04-17,1857,174.6,53.8,176.5,20.8,49,3426,343,115,257,14,BREAKFAST:Bananas(105kcal) | BREAKFAST:Weet-Bix(105kcal) | BREAKFAST:Fitmilk Low Fat(43kcal) | LUNCH:Salad Dressing(60kcal) | LUNCH:Carrots(41kcal) | LUNCH:Chicken Breast (Skin Not Eaten)(164kcal) | LUNCH:Roasted Sweet Potatoes(101kcal) | LUNCH:Brown Rice(110kcal) | LUNCH:Hard-Boiled Egg(78kcal) | LUNCH:Croutons(186kcal)
2026-04-18,1387,135.5,40.3,125,4.8,70.5,4208,421,141,316,8,BREAKFAST:Milk(122kcal) | BREAKFAST:Whey Protein(375kcal) | SNACKS:Apple Juice(117kcal) | LUNCH:Chocolate Milk (Whole)(88kcal) | SNACKS:Carrot Juice(94kcal) | SNACKS:Scrambled Egg(199kcal) | SNACKS:White Rice(204kcal) | SNACKS:Pork Stir Fry(188kcal)
2026-04-19,1548,174.4,51.8,99.3,16.8,54.6,2957,296,99,222,10,BREAKFAST:Bananas(105kcal) | BREAKFAST:Fitmilk Low Fat(43kcal) | BREAKFAST:Weet-Bix(105kcal) | LUNCH:Pork Stir Fry(188kcal) | LUNCH:White Rice(204kcal) | LUNCH:Scrambled Egg(199kcal) | SNACKS:Protein Bar(211kcal) | SNACKS:Berry Smoothie(100kcal) | DINNER:Burrito with Chicken(271kcal) | SNACKS:Milk(122kcal)
2026-04-20,1907,209.5,74.1,107.3,27.2,44.5,3041,304,102,228,14,BREAKFAST:Weet-Bix(105kcal) | BREAKFAST:Fitmilk Low Fat(43kcal) | BREAKFAST:Bananas(105kcal) | SNACKS:Avocados(160kcal) | SNACKS:Lettuce Salad with Assorted Vegetables(11kcal) | SNACKS:Toasted Sour Dough Bread(69kcal) | SNACKS:Egg(74kcal) | LUNCH:Burrito with Chicken(271kcal) | SNACKS:Apples(72kcal) | DINNER:White Rice(204kcal)
2026-04-21,1085,92.8,53.4,61.9,16.6,25,4042,404,135,303,12,BREAKFAST:Fitmilk Low Fat(43kcal) | BREAKFAST:Bananas(105kcal) | BREAKFAST:Weet-Bix(105kcal) | BREAKFAST:Egg(74kcal) | BREAKFAST:Avocados(160kcal) | BREAKFAST:Toasted Sour Dough Bread(69kcal) | BREAKFAST:Lettuce Salad with Assorted Vegetables(11kcal) | LUNCH:Water(0kcal) | LUNCH:Whole Wheat Bread(78kcal) | LUNCH:Brie Cheese(334kcal)
2026-04-22,567,73.7,22.8,21,14.6,19.2,3060,306,102,230,7,BREAKFAST:Bananas(105kcal) | BREAKFAST:Weet-Bix(105kcal) | BREAKFAST:Fitmilk Low Fat(43kcal) | BREAKFAST:Avocados(160kcal) | BREAKFAST:Lettuce Salad with Assorted Vegetables(11kcal) | BREAKFAST:Toasted Sour Dough Bread(69kcal) | BREAKFAST:Egg(74kcal)
2026-04-23,2335,260.3,94,115.4,35.1,42.2,4525,453,151,340,19,BREAKFAST:Bananas(105kcal) | BREAKFAST:Fitmilk Low Fat(43kcal) | BREAKFAST:Weet-Bix(105kcal) | SNACKS:Egg(74kcal) | SNACKS:Avocados(160kcal) | SNACKS:Lettuce Salad with Assorted Vegetables(11kcal) | SNACKS:Toasted Sour Dough Bread(69kcal) | LUNCH:Carrots(41kcal) | LUNCH:Green Peas(81kcal) | LUNCH:Mixed Salad Greens(17kcal)
2026-04-24,1391,195.6,45.7,51.7,22.1,21.8,3752,375,126,282,11,BREAKFAST:Fitmilk Low Fat(43kcal) | BREAKFAST:Bananas(105kcal) | BREAKFAST:Weet-Bix(105kcal) | SNACKS:Toasted Sour Dough Bread(69kcal) | SNACKS:Lettuce Salad with Assorted Vegetables(11kcal) | SNACKS:Avocados(160kcal) | SNACKS:Egg(74kcal) | LUNCH:Air Fryer French Fries(128kcal) | LUNCH:Burrito Bowl(136kcal) | DINNER:Chicken (Breaded and Fried)(190kcal)
2026-04-25,2142,264.7,54,154.9,11.6,59.2,4953,496,166,372,18,SNACKS:Bananas(105kcal) | SNACKS:Toasted French or Vienna Bread (Includes Sourdough)(176kcal) | SNACKS:Orange Juice(112kcal) | BREAKFAST:Plain Round Waffles(218kcal) | BREAKFAST:Coca-Cola (Can)(140kcal) | LUNCH:Fried Rice(333kcal) | LUNCH:Cucumber(1kcal) | LUNCH:Lettuce(1kcal) | LUNCH:Teriyaki Sauce(15kcal) | LUNCH:Tomatoes(18kcal)
2026-04-26,3669,359.9,144.6,230.8,20.8,82.6,5131,513,172,385,23,SNACKS:Bananas(105kcal) | SNACKS:Bread(80kcal) | BREAKFAST:Energy Drink(125kcal) | SNACKS:Whey Protein(375kcal) | SNACKS:Tomato Sauce(37kcal) | SNACKS:Pizza Crust(331kcal) | SNACKS:Green Sweet Pepper(33kcal) | SNACKS:Sliced Ham(46kcal) | SNACKS:Mozzarella Cheese(85kcal) | SNACKS:Pineapple(48kcal)
2026-04-27,1453,174.1,56,66,21.7,29.7,3119,312,104,234,17,BREAKFAST:Lettuce Salad with Assorted Vegetables(11kcal) | BREAKFAST:Avocados(160kcal) | BREAKFAST:Egg(74kcal) | BREAKFAST:Toasted Sour Dough Bread(69kcal) | BREAKFAST:Weet-Bix(105kcal) | BREAKFAST:Fitmilk Low Fat(43kcal) | BREAKFAST:Bananas(105kcal) | SNACKS:Flat White(58kcal) | LUNCH:Bacon(27kcal) | LUNCH:Water(0kcal)
2026-04-28,1175,181.6,31.9,40.6,17.8,24.4,4336,434,145,325,14,BREAKFAST:Bananas(105kcal) | BREAKFAST:Fitmilk Low Fat(43kcal) | BREAKFAST:Lettuce Salad with Assorted Vegetables(11kcal) | BREAKFAST:Weet-Bix(105kcal) | BREAKFAST:Toasted Sour Dough Bread(69kcal) | BREAKFAST:Egg(74kcal) | BREAKFAST:Avocados(160kcal) | LUNCH:Bacon(27kcal) | LUNCH:Lettuce(1kcal) | LUNCH:White Rice(204kcal)
2026-04-29,1336,134,57.5,76.8,24,33.8,4226,423,141,317,12,BREAKFAST:Fitmilk Low Fat(43kcal) | BREAKFAST:Bananas(105kcal) | BREAKFAST:Weet-Bix(105kcal) | BREAKFAST:Egg(74kcal) | BREAKFAST:Avocados(160kcal) | BREAKFAST:Lettuce Salad with Assorted Vegetables(11kcal) | BREAKFAST:Toasted Sour Dough Bread(69kcal) | SNACKS:Flat White(58kcal) | LUNCH:Beef Stew(420kcal) | LUNCH:Mashed Potato(210kcal)
2026-04-30,2383,251.8,95.1,129.7,24.5,48.5,4307,431,144,323,26,BREAKFAST:Bananas(105kcal) | BREAKFAST:Fitmilk Low Fat(43kcal) | BREAKFAST:Sliced Ham(46kcal) | BREAKFAST:Weet-Bix(105kcal) | BREAKFAST:Toasted White Bread(64kcal) | BREAKFAST:Fried Egg(92kcal) | SNACKS:Almond Croissant(236kcal) | SNACKS:Flat White(58kcal) | LUNCH:Sliced Ham(46kcal) | LUNCH:Bacon(27kcal)
2026-05-01,3310,481.3,74.8,172.8,23.9,99.2,5020,502,168,377,19,"BREAKFAST:Oats, Sugar, Raisins and Coconut Granola Bar(200kcal) | BREAKFAST:Oats, Sugar, Raisins and Coconut Granola Bar(200kcal) | SNACKS:Coconut Pudding(291kcal) | SNACKS:Flat White(58kcal) | SNACKS:White Rice(204kcal) | SNACKS:Poached Egg(74kcal) | SNACKS:Broccoli(34kcal) | SNACKS:Broccoli(34kcal) | LUNCH:Whey Protein(375kcal) | SNACKS:Egg(74kcal)"
2026-05-02,3724,426.4,150.8,172.2,25.6,162.7,5391,539,180,405,18,SNACKS:Fried Rice(333kcal) | SNACKS:Ketchup(15kcal) | SNACKS:Fried Egg(92kcal) | SNACKS:Flat White(58kcal) | BREAKFAST:Energy Balls(116kcal) | SNACKS:Milk Chocolate(535kcal) | SNACKS:Whey Protein(375kcal) | SNACKS:Chocolate Coated with Coconut Granola Bar(531kcal) | LUNCH:Ketchup(15kcal) | LUNCH:White Rice(204kcal)
2026-05-03,5448,624,216,260.3,43,207.3,5359,536,179,402,20,SNACKS:Bananas(105kcal) | SNACKS:White Bread(66kcal) | SNACKS:Butter(102kcal) | BREAKFAST:Chocolate Coated with Coconut Granola Bar(531kcal) | BREAKFAST:Granola(453kcal) | BREAKFAST:Whey Protein(375kcal) | BREAKFAST:Chocolate Coated with Coconut Granola Bar(531kcal) | BREAKFAST:Chocolate Coated with Coconut Granola Bar(531kcal) | BREAKFAST:Chocolate Coated with Coconut Granola Bar(531kcal) | SNACKS:Chocolate Chip Muffin(364kcal)
